t,flows,fwd_pkts,bwd_pkts,syn_flags,ack_flags,oneway_flows,label,one_way_ratio,fb_ratio,volume_raw,asym_raw,volume_z,asym_z,volume_alert,asym_alert
13,22268.00000000,66288.00000000,26340.00000000,4.00000000,22264.00000000,12026.00000000,1,0.54005748,2.51657112,22268.00000000,43124.23869074,5005.62075633,8687.12808462,1,1
14,21052.00000000,59644.00000000,23324.00000000,2.00000000,21050.00000000,11692.00000000,1,0.55538666,2.55712755,21052.00000000,41550.60849053,4732.22716849,8370.09882197,1,1
15,20226.00000000,53664.00000000,20920.00000000,4.00000000,20222.00000000,11462.00000000,1,0.56669633,2.56512595,20226.00000000,40281.76604331,4546.51737938,8114.47320839,1,1
16,19552.00000000,49396.00000000,18836.00000000,4.00000000,19548.00000000,11396.00000000,1,0.58285597,2.62233901,19552.00000000,39833.78832237,4394.98178875,8024.22198766,1,1
17,19150.00000000,46332.00000000,17468.00000000,0.00000000,19150.00000000,11256.00000000,1,0.58778068,2.65229836,19150.00000000,39386.61449142,4304.60002698,7934.13272152,1,1
18,18692.00000000,43812.00000000,16500.00000000,4.00000000,18688.00000000,11198.00000000,1,0.59907982,2.65517241,18692.00000000,38741.72216471,4201.62777103,7804.21036823,1,1
19,18786.00000000,42624.00000000,16488.00000000,2.00000000,18784.00000000,11156.00000000,1,0.59384648,2.58505670,18786.00000000,38229.17582330,4222.76181483,7700.95091841,1,1
20,19372.00000000,43704.00000000,16876.00000000,2.00000000,19370.00000000,11454.00000000,1,0.59126574,2.58961901,19372.00000000,39397.04818452,4354.51234318,7936.23473128,1,1
21,19026.00000000,42032.00000000,16268.00000000,0.00000000,19026.00000000,11300.00000000,1,0.59392410,2.58362530,19026.00000000,38707.34647770,4276.72107559,7797.28491731,1,1
22,18682.00000000,40412.00000000,15460.00000000,0.00000000,18680.00000000,11244.00000000,1,0.60186276,2.61386715,18682.00000000,38448.27934291,4199.37946850,7745.09231024,1,1
23,18106.00000000,38784.00000000,14792.00000000,0.00000000,18106.00000000,10946.00000000,1,0.60455098,2.62184817,18106.00000000,37389.47195520,4069.87724268,7531.78112355,1,1
24,17916.00000000,37832.00000000,14432.00000000,0.00000000,17916.00000000,10896.00000000,1,0.60817147,2.62128456,17916.00000000,37076.11175092,4027.15949458,7468.65043726,1,1
25,17684.00000000,36928.00000000,13830.00000000,0.00000000,17676.00000000,10922.00000000,1,0.61762045,2.67001663,17684.00000000,37193.41230278,3974.99887585,7492.28223300,1,1
26,17358.00000000,35956.00000000,13356.00000000,0.00000000,17358.00000000,10802.00000000,1,0.62230672,2.69199671,17358.00000000,36781.67467109,3901.70421332,7409.33207243,1,1
27,17388.00000000,35728.00000000,13496.00000000,0.00000000,17388.00000000,10720.00000000,1,0.61651714,2.64718086,17388.00000000,36370.47310490,3908.44912091,7326.48990957,1,1
28,17372.00000000,35480.00000000,13340.00000000,0.00000000,17372.00000000,10766.00000000,1,0.61973290,2.65954576,17372.00000000,36504.52564713,3904.85183686,7353.49662221,1,1
29,16748.00000000,34016.00000000,12256.00000000,0.00000000,16748.00000000,10656.00000000,1,0.63625508,2.77531207,16748.00000000,36405.74939057,3764.55775889,7333.59679836,1,1
30,14984.00000000,31108.00000000,8324.00000000,0.00000000,14984.00000000,10850.00000000,1,0.72410571,3.73681682,14984.00000000,40181.30851591,3367.95719232,8094.23466961,1,1
31,14728.00000000,30464.00000000,8068.00000000,0.00000000,14728.00000000,10734.00000000,1,0.72881586,3.77556079,14728.00000000,39810.12751104,3310.40064751,8019.45519456,1,1
32,14444.00000000,29776.00000000,7852.00000000,2.00000000,14442.00000000,10540.00000000,1,0.72971476,3.79179931,14444.00000000,39147.57900963,3246.54885561,7885.97576411,1,1
33,14022.00000000,28744.00000000,7708.00000000,0.00000000,14022.00000000,10194.00000000,1,0.72700043,3.72875859,14022.00000000,37623.49629011,3151.67048878,7578.92851709,1,1
34,13854.00000000,28192.00000000,7284.00000000,0.00000000,13854.00000000,10216.00000000,1,0.73740436,3.87000686,13854.00000000,38105.10498832,3113.89900625,7675.95515681,1,1
35,13498.00000000,27420.00000000,7152.00000000,0.00000000,13498.00000000,9928.00000000,1,0.73551637,3.83349644,13498.00000000,36909.30528850,3033.85943613,7435.04500075,1,1
36,13390.00000000,27052.00000000,6980.00000000,0.00000000,13390.00000000,9902.00000000,1,0.73950709,3.87523277,13390.00000000,36898.43760788,3009.57776878,7432.85555829,1,1
37,13560.00000000,27308.00000000,7028.00000000,0.00000000,13560.00000000,10054.00000000,1,0.74144543,3.88518993,13560.00000000,37456.71959559,3047.79891182,7545.32907773,1,1
38,13648.00000000,27476.00000000,7152.00000000,0.00000000,13648.00000000,10080.00000000,1,0.73856975,3.84132532,13648.00000000,37423.52894839,3067.58397410,7538.64236925,1,1
39,14430.00000000,28924.00000000,8816.00000000,2.00000000,14428.00000000,10024.00000000,1,0.69466389,3.28059431,14430.00000000,35558.36226135,3243.40123207,7162.87910578,1,1
40,17570.00000000,35856.00000000,13776.00000000,8.00000000,17562.00000000,10688.00000000,1,0.60830962,2.60267112,17570.00000000,36217.58762698,3949.36822699,7295.68904522,1,1
41,17994.00000000,36636.00000000,14092.00000000,2.00000000,17992.00000000,10952.00000000,1,0.60864733,2.59965941,17994.00000000,37075.17239121,4044.69625433,7468.46119044,1,1
42,17720.00000000,35956.00000000,13828.00000000,4.00000000,17716.00000000,10806.00000000,1,0.60981941,2.60011570,17720.00000000,36540.83564610,3983.09276496,7360.81176664,1,1
43,17840.00000000,36132.00000000,13852.00000000,2.00000000,17838.00000000,10914.00000000,1,0.61177130,2.60831589,17840.00000000,36898.31604277,4010.07239534,7432.83106734,1,1
44,17792.00000000,36072.00000000,13672.00000000,4.00000000,17782.00000000,10972.00000000,1,0.61668165,2.63826519,17792.00000000,37148.90657238,3999.28054319,7483.31594671,1,1
45,17490.00000000,35488.00000000,13472.00000000,4.00000000,17472.00000000,10798.00000000,1,0.61738136,2.63408298,17490.00000000,36501.61327917,3931.38180674,7352.90988597,1,1
46,17438.00000000,35144.00000000,13076.00000000,0.00000000,17436.00000000,10908.00000000,1,0.62553045,2.68754301,17438.00000000,36990.40711670,3919.69063357,7451.38406998,1,1
47,17080.00000000,34328.00000000,13008.00000000,0.00000000,17078.00000000,10580.00000000,1,0.61943794,2.63886540,17080.00000000,35727.64558389,3839.20140294,7196.98353954,1,1
48,17042.00000000,34182.00000000,12992.00000000,4.00000000,17036.00000000,10548.00000000,1,0.61894144,2.63087817,17042.00000000,35576.60249784,3830.65785332,7166.55385015,1,1
49,13066.00000000,26180.00000000,9872.00000000,2.00000000,13064.00000000,8134.00000000,1,0.62253176,2.65177758,13066.00000000,27458.53798615,2936.73276676,5531.05905221,1,1
50,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1,0.00000000,1.80000000,2.00000000,2.05923883,-0.44966051,-0.42300197,0,0
51,4.00000000,4.00000000,10.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,0.45454545,4.00000000,1.49877380,0.00000000,-0.53591529,0,0
52,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
53,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
54,2.00000000,28.00000000,36.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,0.78378378,2.00000000,1.15747366,-0.44966051,-0.60467486,0,0
55,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
56,2.00000000,4.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1,0.00000000,1.00000000,2.00000000,1.38629436,-0.44966051,-0.55857581,0,0
57,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
58,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
59,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1,0.00000000,1.80000000,2.00000000,2.05923883,-0.44966051,-0.42300197,0,0
60,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
61,14.00000000,36.00000000,10.00000000,0.00000000,2.00000000,8.00000000,0,0.57142857,3.36363636,14.00000000,32.41272624,2.24830253,5.69212199,0,0
62,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
63,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
64,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
65,14.00000000,28.00000000,28.00000000,0.00000000,14.00000000,0.00000000,0,0.00000000,1.00000000,14.00000000,9.70406053,2.24830253,1.11715161,0,0
66,2.00000000,4.00000000,4.00000000,0.00000000,2.00000000,0.00000000,0,0.00000000,1.00000000,2.00000000,1.38629436,-0.44966051,-0.55857581,0,0
67,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
68,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
69,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
70,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
71,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
72,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
73,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
74,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
75,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1,0.00000000,1.80000000,2.00000000,2.05923883,-0.44966051,-0.42300197,0,0
76,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
77,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
78,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
79,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
80,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
81,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
82,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
83,2.00000000,8.00000000,4.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.80000000,2.00000000,2.05923883,-0.44966051,-0.42300197,0,0
84,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
85,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
86,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
87,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
88,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
89,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1,0.00000000,1.80000000,2.00000000,2.05923883,-0.44966051,-0.42300197,0,0
90,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
91,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
92,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
93,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
94,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
95,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
96,2.00000000,78.00000000,100.00000000,0.00000000,2.00000000,0.00000000,1,0.00000000,0.78217822,2.00000000,1.15567267,-0.44966051,-0.60503769,0,0
97,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
98,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
99,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
100,4.00000000,8.00000000,8.00000000,0.00000000,4.00000000,0.00000000,1,0.00000000,1.00000000,4.00000000,2.77258872,0.00000000,-0.27928790,0,0
101,6.00000000,12.00000000,14.00000000,0.00000000,2.00000000,0.00000000,1,0.00000000,0.86666667,6.00000000,3.74492585,0.44966051,-0.08339733,0,0
102,12.00000000,24.00000000,10.00000000,0.00000000,0.00000000,6.00000000,0,0.50000000,2.27272727,12.00000000,21.34122598,1.79864203,3.46161728,0,0
103,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
104,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
105,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
106,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
107,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
108,4.00000000,6.00000000,2.00000000,0.00000000,0.00000000,2.00000000,1,0.50000000,2.33333333,4.00000000,7.22383683,0.00000000,0.61747673,0,0
109,2.00000000,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,1,0.00000000,0.60000000,2.00000000,0.94000726,-0.44966051,-0.64848643,0,0
110,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
111,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
112,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
113,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
114,6.00000000,12.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0,1.00000000,13.00000000,6.00000000,31.66868796,0.44966051,5.54222533,0,0
115,12.00000000,24.00000000,0.00000000,0.00000000,0.00000000,12.00000000,0,1.00000000,25.00000000,12.00000000,78.19431691,1.79864203,14.91544773,0,1
116,42.00000000,84.00000000,12.00000000,0.00000000,0.00000000,36.00000000,0,0.85714286,6.53846154,42.00000000,157.56141345,8.54354962,30.90503162,1,1
117,6.00000000,12.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0,1.00000000,13.00000000,6.00000000,31.66868796,0.44966051,5.54222533,0,0
118,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
119,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
120,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
121,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
122,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
123,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
124,4.00000000,4.00000000,6.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,0.71428571,4.00000000,2.15598600,0.00000000,-0.40351093,0,0
125,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
126,2.00000000,30.00000000,24.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.24000000,2.00000000,1.61295173,-0.44966051,-0.51291259,0,0
127,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
128,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
129,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
130,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
131,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
132,2.00000000,66.00000000,96.00000000,0.00000000,2.00000000,0.00000000,1,0.00000000,0.69072165,2.00000000,1.05031090,-0.44966051,-0.62626426,0,0
133,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
134,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
135,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
136,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
137,6.00000000,12.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0,1.00000000,13.00000000,6.00000000,31.66868796,0.44966051,5.54222533,0,0
138,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
139,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
141,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
142,2.00000000,20.00000000,8.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,2.33333333,2.00000000,2.40794561,-0.44966051,-0.35275023,0,0
143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
144,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
145,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
146,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
147,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
148,6.00000000,72.00000000,98.00000000,0.00000000,2.00000000,2.00000000,1,0.33333333,0.73737374,6.00000000,4.41899701,0.44966051,0.05240350,0,0
149,4.00000000,4.00000000,8.00000000,0.00000000,0.00000000,0.00000000,1,0.00000000,0.55555556,4.00000000,1.76733101,0.00000000,-0.48181078,0,0
150,2.00000000,2.00000000,2.00000000,0.00000000,0.00000000,0.00000000,1,0.00000000,1.00000000,2.00000000,1.38629436,-0.44966051,-0.55857581,0,0
151,4.00000000,10.00000000,10.00000000,0.00000000,2.00000000,0.00000000,1,0.00000000,1.00000000,4.00000000,2.77258872,0.00000000,-0.27928790,0,0
152,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,2.00000000,1,1.00000000,5.00000000,2.00000000,7.16703788,-0.44966051,0.60603380,0,0
153,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
154,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,2.00000000,1,1.00000000,5.00000000,2.00000000,7.16703788,-0.44966051,0.60603380,0,0
155,6.00000000,12.00000000,4.00000000,0.00000000,0.00000000,4.00000000,0,0.66666667,2.60000000,6.00000000,12.80933845,0.44966051,1.74275220,0,0
156,18.00000000,36.00000000,0.00000000,0.00000000,0.00000000,18.00000000,0,1.00000000,37.00000000,18.00000000,130.95310175,3.14762354,25.54442438,0,1
157,42.00000000,84.00000000,16.00000000,0.00000000,0.00000000,34.00000000,0,0.80952381,5.00000000,42.00000000,136.17371966,8.54354962,26.59618905,1,1
158,6.00000000,12.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0,1.00000000,13.00000000,6.00000000,31.66868796,0.44966051,5.54222533,0,0
159,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
160,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,2.00000000,1,1.00000000,5.00000000,2.00000000,7.16703788,-0.44966051,0.60603380,0,0
161,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
162,6.00000000,66.00000000,102.00000000,0.00000000,2.00000000,0.00000000,1,0.00000000,0.65048544,6.00000000,3.00641669,0.44966051,-0.23218007,0,0
163,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,-0.89932101,-0.83786371,0,0
