t,flows,fwd_pkts,bwd_pkts,syn_flags,ack_flags,oneway_flows,label
43,17840.00000000,36132.00000000,13852.00000000,2.00000000,17838.00000000,10914.00000000,1
44,17792.00000000,36072.00000000,13672.00000000,4.00000000,17782.00000000,10972.00000000,1
45,17490.00000000,35488.00000000,13472.00000000,4.00000000,17472.00000000,10798.00000000,1
46,17438.00000000,35144.00000000,13076.00000000,0.00000000,17436.00000000,10908.00000000,1
47,17080.00000000,34328.00000000,13008.00000000,0.00000000,17078.00000000,10580.00000000,1
48,17042.00000000,34182.00000000,12992.00000000,4.00000000,17036.00000000,10548.00000000,1
49,13066.00000000,26180.00000000,9872.00000000,2.00000000,13064.00000000,8134.00000000,1
50,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
51,4.00000000,4.00000000,10.00000000,0.00000000,0.00000000,0.00000000,0
52,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
53,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
54,2.00000000,28.00000000,36.00000000,0.00000000,0.00000000,0.00000000,0
55,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
56,2.00000000,4.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
57,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
58,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
59,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
60,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
61,14.00000000,36.00000000,10.00000000,0.00000000,2.00000000,8.00000000,0
62,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
63,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
64,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
65,14.00000000,28.00000000,28.00000000,0.00000000,14.00000000,0.00000000,0
66,2.00000000,4.00000000,4.00000000,0.00000000,2.00000000,0.00000000,0
67,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
68,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
69,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
70,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
71,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
72,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
73,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
74,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
75,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
76,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
77,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
78,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
79,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
80,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
81,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
82,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
83,2.00000000,8.00000000,4.00000000,0.00000000,0.00000000,0.00000000,0
84,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
85,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
86,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
87,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
88,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
89,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
90,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
91,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
92,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
93,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
94,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
95,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
96,2.00000000,78.00000000,100.00000000,0.00000000,2.00000000,0.00000000,1
97,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
98,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
99,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
100,4.00000000,8.00000000,8.00000000,0.00000000,4.00000000,0.00000000,1
101,6.00000000,12.00000000,14.00000000,0.00000000,2.00000000,0.00000000,1
102,12.00000000,24.00000000,10.00000000,0.00000000,0.00000000,6.00000000,0
103,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
104,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
105,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
106,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
107,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
108,4.00000000,6.00000000,2.00000000,0.00000000,0.00000000,2.00000000,1
109,2.00000000,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,1
110,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
111,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
112,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
113,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
114,6.00000000,12.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0
115,12.00000000,24.00000000,0.00000000,0.00000000,0.00000000,12.00000000,0
116,42.00000000,84.00000000,12.00000000,0.00000000,0.00000000,36.00000000,0
117,6.00000000,12.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0
118,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
119,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
120,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
121,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
122,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
123,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
124,4.00000000,4.00000000,6.00000000,0.00000000,0.00000000,0.00000000,0
125,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
126,2.00000000,30.00000000,24.00000000,0.00000000,0.00000000,0.00000000,0
127,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
128,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
129,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
130,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
131,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
132,2.00000000,66.00000000,96.00000000,0.00000000,2.00000000,0.00000000,1
133,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
134,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
135,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
136,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
137,6.00000000,12.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0
138,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
139,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
141,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
142,2.00000000,20.00000000,8.00000000,0.00000000,0.00000000,0.00000000,0
143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
144,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
145,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
146,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
147,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
148,6.00000000,72.00000000,98.00000000,0.00000000,2.00000000,2.00000000,1
149,4.00000000,4.00000000,8.00000000,0.00000000,0.00000000,0.00000000,1
150,2.00000000,2.00000000,2.00000000,0.00000000,0.00000000,0.00000000,1
151,4.00000000,10.00000000,10.00000000,0.00000000,2.00000000,0.00000000,1
152,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,2.00000000,1
153,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
154,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,2.00000000,1
155,6.00000000,12.00000000,4.00000000,0.00000000,0.00000000,4.00000000,0
156,18.00000000,36.00000000,0.00000000,0.00000000,0.00000000,18.00000000,0
157,42.00000000,84.00000000,16.00000000,0.00000000,0.00000000,34.00000000,0
158,6.00000000,12.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0
159,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
160,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,2.00000000,1
161,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
162,6.00000000,66.00000000,102.00000000,0.00000000,2.00000000,0.00000000,1
163,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
164,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
165,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
166,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
167,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
168,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
169,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
170,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
171,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,2.00000000,1
172,2.00000000,20.00000000,12.00000000,0.00000000,0.00000000,0.00000000,0
173,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
174,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
175,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
176,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
177,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
178,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
179,8.00000000,20.00000000,0.00000000,0.00000000,0.00000000,8.00000000,0
180,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
181,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
182,2.00000000,6.00000000,12.00000000,0.00000000,0.00000000,0.00000000,0
183,2.00000000,32.00000000,32.00000000,0.00000000,0.00000000,0.00000000,0
184,6.00000000,138.00000000,174.00000000,0.00000000,4.00000000,0.00000000,1
185,2.00000000,6.00000000,8.00000000,0.00000000,0.00000000,0.00000000,1
186,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
187,36.00000000,464.00000000,512.00000000,0.00000000,36.00000000,0.00000000,0
188,18.00000000,650.00000000,806.00000000,0.00000000,14.00000000,0.00000000,0
189,26.00000000,816.00000000,812.00000000,2.00000000,22.00000000,4.00000000,0
190,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
191,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
192,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
193,16.00000000,16.00000000,24.00000000,0.00000000,0.00000000,0.00000000,0
194,8.00000000,16.00000000,4.00000000,0.00000000,0.00000000,6.00000000,1
195,10.00000000,20.00000000,10.00000000,0.00000000,0.00000000,4.00000000,1
196,6.00000000,12.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0
197,6.00000000,20.00000000,34.00000000,0.00000000,2.00000000,0.00000000,1
198,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
199,2.00000000,208.00000000,290.00000000,0.00000000,2.00000000,0.00000000,0
200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
201,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
202,2.00000000,58.00000000,68.00000000,0.00000000,2.00000000,0.00000000,1
203,8.00000000,8.00000000,20.00000000,0.00000000,0.00000000,0.00000000,0
204,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
205,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
206,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
207,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
208,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
209,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
210,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
211,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
212,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
213,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
214,12.00000000,258.00000000,276.00000000,0.00000000,12.00000000,0.00000000,0
215,20.00000000,62.00000000,68.00000000,0.00000000,4.00000000,0.00000000,1
216,10.00000000,222.00000000,210.00000000,0.00000000,10.00000000,0.00000000,0
217,10.00000000,36.00000000,52.00000000,0.00000000,2.00000000,0.00000000,0
218,4.00000000,4.00000000,10.00000000,0.00000000,0.00000000,0.00000000,0
219,4.00000000,4.00000000,10.00000000,0.00000000,0.00000000,0.00000000,0
220,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
221,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
222,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
223,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
224,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
225,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
226,8.00000000,8.00000000,24.00000000,0.00000000,0.00000000,0.00000000,0
227,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
228,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
229,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
230,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
231,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
233,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
234,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
235,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
236,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
237,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
238,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
239,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
240,2.00000000,12.00000000,0.00000000,0.00000000,2.00000000,2.00000000,0
241,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
242,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
243,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
244,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
245,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
246,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
247,2.00000000,4.00000000,0.00000000,2.00000000,0.00000000,2.00000000,0
248,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
249,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
250,8.00000000,8.00000000,16.00000000,0.00000000,0.00000000,0.00000000,0
251,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
252,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
253,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
254,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
255,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
256,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
257,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
258,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
259,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
260,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
261,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
262,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
263,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
264,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
265,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
266,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
267,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
268,2.00000000,58.00000000,84.00000000,0.00000000,2.00000000,0.00000000,1
269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
270,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
271,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
272,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
273,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
274,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
275,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
276,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
277,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
278,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
279,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
280,4.00000000,6.00000000,6.00000000,0.00000000,0.00000000,2.00000000,1
281,2.00000000,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,1
282,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
283,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
285,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
286,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
287,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
288,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
289,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
290,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
291,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
292,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
293,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
294,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
295,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
296,2.00000000,28.00000000,0.00000000,0.00000000,2.00000000,2.00000000,0
297,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
298,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
299,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
301,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
302,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
303,8.00000000,20.00000000,14.00000000,0.00000000,4.00000000,0.00000000,1
304,4.00000000,4.00000000,6.00000000,0.00000000,0.00000000,0.00000000,0
305,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
307,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
308,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
309,2.00000000,70.00000000,72.00000000,0.00000000,0.00000000,0.00000000,0
310,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
311,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
312,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
313,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
314,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
315,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
316,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
317,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
318,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
319,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
320,4.00000000,62.00000000,68.00000000,0.00000000,2.00000000,0.00000000,1
321,2.00000000,12.00000000,0.00000000,0.00000000,2.00000000,2.00000000,0
322,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
323,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
324,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
325,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
326,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
327,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
328,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
329,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
330,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
331,2.00000000,8.00000000,4.00000000,0.00000000,2.00000000,0.00000000,1
332,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
334,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
335,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
336,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
337,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
338,4.00000000,16.00000000,8.00000000,0.00000000,4.00000000,0.00000000,1
339,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
340,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0
